,categories,title,company_names,percentages,funding_amounts,target_amounts,n_supporters,likes,descriptions,durations,days_left
52,여행·레저,[슬로라잎 프로젝트] 당신을 위한 숲속 슬로스테이 @제주,더슬로우 프로젝트 그룹,187%,"2,180,000원","1,160,000원",23,46,"제주 송당마을에서의 숲속 슬로라잎 프로젝트. 온전한 쉼이 필요한 당신을 위해 마련한 2박 3일 슬로스테이(slow-stay) 프로그램입니다. 나를 위한 특별한 슬로라이프한 시간.
    Jeju with Wadiz 파트너와 함께합니다.",2019.08.14-2019.08.28,None
53,여행·레저,키덜트/캐릭터 상품 직수입 해외교육 [키덜트산업 창업 멘토링],하이큐빅,64%,"3,200,000원","5,000,000원",2,10,"각광받는 [키덜트, 캐릭터상품] 시장, 직수입 기술과 아이템이 만나 최고의 창업을 하다. [키덜트, 캐릭터상품 창업 멘토링]",2017.08.31-2017.10.10,펀딩성공
54,여행·레저,비즈니스 여행을 가는 당신을 위한 정장가방,투팩(TWOPACK),1336%,"6,682,000원","500,000원",119,159,소중한 옷은 구김없이 담아야 합니다. 여행 그리고 비즈니스의 품격을 높여주는 정장가방,2019.12.13-2019.12.29,None
55,여행·레저,자동차 빈 공간을 슬기롭게 활용하게 해 줄 뒷좌석 정리함,토이조이,1242%,"12,422,000원","1,000,000원",186,123,"집, 회사 다음으로 많은 시간을 보내는 자동차
항상 빈 공간으로 남아 있는 자동차 뒷좌석
자동차의 빈 공간을 활용해 짐을 수납할 수 있도록 한 뒷좌석 정리함을 소개합니다",2020.10.26-2020.11.16,None
56,여행·레저,[이런지도는없다] 여행콘텐츠 전문 팀이 만든 세계여행지도,(주)타블라라사,1631%,"16,317,300원","1,000,000원",552,359,"'여행'이라는 주제로 만들어진 국내유일의 세계여행지도. 190여개 국가의 역사 수록, 유럽/동남아/일본 확대지도, 왜곡을 최소화한 다이맥션맵 그리고 예쁜 포스터 지도 제공합니다.",2018.12.12-2019.01.16,None
57,여행·레저,[앵콜] 정수기 텀블러! 여행 갈 때도 정수기 갖고가세요!,PHILOS,151%,"757,000원","500,000원",35,40,"여름 휴가 시즌, 안전한 물로 여행길 동반자가 되겠습니다.",2019.07.03-2019.07.15,None
58,여행·레저,[전용차량+자유여행] 당신이 꿈꿔온 스페인 안달루시아,(주)하나투어리스트,822%,"8,140,000원","990,000원",11,80,전용차량으로 편리하게! 인솔자 동행으로 안전하게! 자유시간은 충분하게! 스페인의 핵심 : 마드리드+안달루시아+바르셀로나를 알차고 편하게 여행할 수 있도록 구성했습니다.,2019.09.15-2019.09.22,None
59,여행·레저,세상에 없던 트랜스포머 스토브! 티루드 랜드마크!,우드앤번,1305%,"65,252,800원","5,000,000원",265,246,"세계최초! 가변형 사이즈의 우드가스 스토브!
인원에 따라, 상황에 따라, 필요한 화력에 따라
자유로운 조합시스템으로 마음대로 구성하고 아름다운 2차연소 불꽃을 즐기세요!",2019.09.20-2019.09.29,None
60,여행·레저,처음엔 돈주고 왜 지도를 펀딩해야해? 생각했어요-블랙 에이든전국지도 출시,(주)타블라라사,885%,"8,859,195원","1,000,000원",459,327,모던 인테리어에 어울리는 '모노톤(블랙/그레이) 에이든 전국여행지도' 출시.  역사예능 방송에 소개되었던 한국관광공사 선정 관광벤처기업이 만드는 지도,2021.01.14-2021.02.15,None
61,여행·레저,뉴홀더 -경차부터~SUV까지 탈부착이 되는 차량용 타프,윤빛산업,11%,"350,000원","3,000,000원",5,41,"경차부터 ~ SUV차량까지 사용간편하게 탈부착이 가능한 
뉴 홀더
가족,연인,친구들과 차량캠핑을 떠날수 있는 필수 아이템",2019.05.31-2019.06.30,펀딩성공
